step,epoch,train_acc,train_loss,test_acc,test_loss
49,2,0.5625,0.8593772053718567,,
99,4,0.71875,0.5355608463287354,,
149,7,0.71875,0.6099832057952881,,
199,9,0.96875,0.12485581636428833,,
249,12,0.9375,0.13216111063957214,,
299,14,0.9375,0.11657856404781342,,
349,17,1.0,0.025983387604355812,,
399,19,1.0,0.03164283558726311,,
449,22,1.0,0.0010225767036899924,,
499,24,1.0,0.00027691363357007504,,
549,27,1.0,0.0014228698564693332,,
599,29,1.0,0.0005827012355439365,,
600,30,,,0.862500011920929,1.1793081760406494
